Bus 1 : Type A, 11.00, 30, 4, 9, 1000, 1500, 8
Bus 2 : Type B, 11.30, 30, 4, 6, 1000, 1500, 4
Bus 3 : Type A, 12.00, 30, 4, 9, 1000, 1500, 8
Bus 4 : Type B, 12.30, 30, 4, 6, 1000, 1500, 4
Bus 5 : Type A, 13.00, 30, 4, 9, 1000, 1500, 8
Bus 6 : Type B, 13.30, 30, 4, 6, 1000, 1500, 4
Bus 7 : Type B, 14.00, 30, 4, 6, 1000, 1500, 4
Bus 8 : Type A, 12.00, 30, 4, 9, 1000, 1500, 8
Bus 9 : Type B, 12.30, 30, 4, 6, 1000, 1500, 4
Bus 10 : Type A, 13.00, 30, 4, 9, 1000, 1500, 8
Bus 11 : Type B, 13.30, 30, 4, 6, 1000, 1500, 4
Bus 12 : Type A, 14.00, 30, 4, 9, 1000, 1500, 8
Bus 13 : Type B, 14.30, 30, 4, 6, 1000, 1500, 4
Bus 14 : Type B, 15.00, 30, 4, 6, 1000, 1500, 4
Bus 15 : Type A, 13.00, 30, 4, 9, 2000, 2500, 8
Bus 16 : Type B, 13.30, 30, 4, 6, 2000, 2500, 4
Bus 17 : Type A, 14.00, 30, 4, 9, 2000, 2500, 8
Bus 18 : Type B, 14.30, 30, 4, 6, 2000, 2500, 4
Bus 19 : Type A, 15.00, 30, 4, 9, 2000, 2500, 8
Bus 20 : Type B, 15.30, 30, 4, 6, 2000, 2500, 4
Bus 21 : Type B, 16.00, 30, 4, 6, 2000, 2500, 4
Bus 22 : Type A, 09.00, 30, 4, 9, 2000, 2500, 8
Bus 23 : Type B, 09.30, 30, 4, 6, 2000, 2500, 4
Bus 24 : Type A, 10.00, 30, 4, 9, 2000, 2500, 8
Bus 25 : Type B, 10.30, 30, 4, 6, 2000, 2500, 4
Bus 26 : Type A, 11.00, 30, 4, 9, 2000, 2500, 8
Bus 27 : Type B, 11.30, 30, 4, 6, 2000, 2500, 4
Bus 28 : Type B, 12.00, 30, 4, 6, 2000, 2500, 4
